startTimeMs,words
10590,"Je t'aime, je t'aime"
14180,Oh oui je t'aime
17530,Moi non plus
22460,Oh mon amour
26100,Comme la vague irrésolue
30400,♪
33070,"Je vais, je vais et je viens"
37330,♪
41180,Entre tes reins
46310,Je vais et je viens
50170,Entre tes reins
53000,Et je me retiens
56950,"Je t'aime, je t'aime"
60740,Oh oui je t'aime
64460,Moi non plus
69770,Oh mon amour
72670,"Tu es la vague, moi l'île nue"
77860,♪
80640,"Tu vas, tu vas et tu viens"
86260,
88670,Entre mes reins
94070,Tu vas et tu viens
97180,Entre mes reins
100130,Et je te rejoins
104730,"Je t'aime, je t'aime"
108880,Oh oui je t'aime
111760,Moi non plus
116620,Oh mon amour
120670,Comme la vague irrésolue
127520,"Je vais, je vais et je viens"
132380,♪
135760,Entre tes reins
140900,Je vais et je viens
144870,Entre tes reins
147530,Et je me retiens
152160,♪
175260,"Tu vas, tu vas et tu viens"
180730,
182960,Entre mes reins
186520,
188910,Tu vas et tu viens
192290,Entre mes reins
195130,Et je te rejoins
199620,"Je t'aime, je t'aime"
203370,Oh oui je t'aime
207320,Moi non plus
211930,Oh mon amour
215640,L'amour physique est sans issue
222830,"Je vais, je vais et je viens"
228670,
230990,Entre tes reins
235990,Je vais et je viens
239690,Je me retiens
242460,"Non, maintenant viens"
245410,
