startTimeMs,words
8220,Quand on n'a que l'amour
11570,À s'offrir en partage
14790,Au jour du grand voyage
18100,Qu'est notre grand amour
21210,Quand on n'a que l'amour
24520,Mon amour toi et moi
28020,Pour qu'éclate de joie
31100,Chaque heure et chaque jour
34490,Quand on n'a que l'amour
37560,Pour vivre nos promesses
40660,Sans nulle autre richesse
43940,Que d'y croire toujours
46910,Quand on n'a que l'amour
49970,Pour meubler de merveilles
53010,Et couvrir de soleil
56020,La laideur des faubourgs
59240,Quand on n'a que l'amour
62040,Pour unique raison
64610,Pour unique chanson
67560,Et unique secours
72280,Quand on n'a que l'amour
75730,Pour habiller matin
79260,Pauvres et malandrins
82550,De manteaux de velours
85590,Quand on n'a que l'amour
88820,À offrir en prière
92260,Pour les maux de la terre
95370,En simple troubadour
98550,Quand on n'a que l'amour
101460,À offrir à ceux-là
104400,Dont l'unique combat
107070,Est de chercher le jour
110030,Quand on n'a que l'amour
112600,Pour tracer un chemin
115570,Et forcer le destin
118150,À chaque carrefour
121120,Quand on n'a que l'amour
123600,Pour parler aux canons
126150,Et rien qu'une chanson
128910,Pour convaincre un tambour
133070,"Alors, sans avoir rien"
135410,Que la force d'aimer
138160,Nous aurons dans nos mains
140680,Amie
142490,Le monde entier
149070,
