startTimeMs,words
19470,Ne me quitte pas
21980,Il faut oublier
23630,Tout peut s'oublier
26330,Qui s'enfuit déjà
29280,Oublier le temps
31560,Des malentendus
33320,Et le temps perdu
35970,À savoir comment
38430,Oublier ces heures
40560,Qui tuaient parfois
42100,À coups de pourquoi
44770,Le cœur du bonheur
47230,Ne me quitte pas
49960,Ne me quitte pas
52360,Ne me quitte pas
55110,Ne me quitte pas
58390,"Moi, je t'offrirai"
61430,Des perles de pluie
63820,Venues de pays
65780,Où il ne pleut pas
68020,Je creuserai la terre
69830,Jusqu'après ma mort
71340,Pour couvrir ton corps
72930,D'or et de lumière
75390,Je ferai un domaine
76990,Où l'amour sera roi
78590,Où l'amour sera loi
80360,Où tu seras reine
83060,Ne me quitte pas
85730,Ne me quitte pas
88040,Ne me quitte pas
90740,Ne me quitte pas
93490,♪
96430,
98820,Ne me quitte pas
101770,Je t'inventerai
103680,Des mots insensés
106200,Que tu comprendras
108440,Je te parlerai
110400,De ces amants-là
111870,Qui ont vu deux fois
113660,Leurs cœurs s'embraser
115970,Je te raconterai
118370,L'histoire de ce roi
120030,Mort de n'avoir pas
122700,Pu te rencontrer
125530,Ne me quitte pas
128100,Ne me quitte pas
130630,Ne me quitte pas
133430,Ne me quitte pas
135640,On a vu souvent
138140,Rejaillir le feu
140510,De l'ancien volcan
142360,Qu'on croyait trop vieux
144480,"Il est, paraît-il"
146060,Des terres brûlées
147690,Donnant plus de blé
149170,Qu'un meilleur avril
151050,Et quand vient le soir
152680,Pour qu'un ciel flamboie
154150,Le rouge et le noir
156220,Ne s'épousent-ils pas?
159820,Ne me quitte pas
163080,Ne me quitte pas
166070,Ne me quitte pas
168640,Ne me quitte pas
174190,♪
176960,Ne me quitte pas
180050,Je ne vais plus pleurer
182640,Je ne vais plus parler
184900,Je me cacherai là
187560,À te regarder
189110,Danser et sourire
191170,Et à t'écouter
193330,Chanter et puis rire
196280,Laisse-moi devenir
198410,L'ombre de ton ombre
200940,L'ombre de ta main
203820,L'ombre de ton chien
206610,Ne me quitte pas
208960,Ne me quitte pas
211260,Ne me quitte pas
213950,Ne me quitte pas
215880,
