startTimeMs,words
14350,"À m'asseoir sur un banc, cinq minutes, avec toi"
16650,"Et regarder les gens, tant qu'y en a"
19880,"Te parler du bon temps, qui est mort ou qui reviendra"
22370,En serrant dans ma main tes petits doigts
26260,Pis donner à bouffer à des pigeons idiots
29270,Leur filer des coups de pied pour de faux
32660,Et entendre ton rire qui lézarde les murs
36120,Qui sait surtout guérir mes blessures
39410,"Te raconter un peu comment j'étais, minot"
42150,Les bombecs fabuleux qu'on piquait chez l'marchand
46040,"Car-en-sac et Minto, caramels à un franc"
50380,Et les Mistral Gagnants
54850,"À remarcher sous la pluie, cinq minutes, avec toi"
57990,"Et regarder la vie, tant qu'y en a"
61620,Te raconter la Terre en te bouffant des yeux
64080,"Te parler de ta mère, un petit peu"
67530,Et sauter dans les flaques pour la faire râler
70080,Bousiller nos godasses et s'marrer
73560,Et entendre ton rire comme on entend la mer
76340,"S'arrêter, repartir en arrière"
80070,Te raconter surtout les Carambars d'antan et les Coco Boers
85870,Et les vrais Roudoudous qui nous coupaient les lèvres
88850,Et nous niquaient les dents
92360,Et les Mistral Gagnants
108960,"À m'asseoir sur un banc, cinq minutes, avec toi"
111350,Regarder le soleil qui s'en va
114560,"Te parler du bon temps, qui est mort et je m'en fous"
117620,"Te dire que les méchants, c'est pas nous"
121090,"Que si moi je suis barge, ce n'est que de tes yeux"
123930,Car ils ont l'avantage d'être deux
127450,Et entendre ton rire s'envoler aussi haut
131040,Que s'envolent les cris des oiseaux
134180,"Te raconter, enfin, qu'il faut aimer la vie"
136430,L'aimer même si le temps est assassin et emporte avec lui
141720,Les rires des enfants
145040,Et les Mistral Gagnants
148200,Et les Mistral Gagnants
164490,
