startTimeMs,words
170,"Je reviens te chercher, je savais que tu m'attendais"
6010,♪
10860,Je savais que l'on ne pourrait se passer l'un de l'autre longtemps
20960,"Je reviens te chercher, ben, tu vois, j'ai pas trop changé"
31510,"Et je vois que de ton côté, tu as bien traversé le temps"
43870,♪
46540,Tous les deux on s'est fait la guerre
51620,"Tous les deux on s'est pillés, volés, ruinés"
57070,"Qui a gagné, qui a perdu, on n'en sait rien, on ne sait plus"
62110,On se retrouve les mains nues mais après la guerre
73850,Il nous reste à faire la paix
84020,♪
88380,"Je reviens te chercher, tremblant comme un jeune marié"
99630,Mais plus riche qu'aux jours passés
104390,De tendresse et de larmes et de temps
110250,"Je reviens te chercher, j'ai l'air bête sur ce palier"
121360,"Aide-moi et viens m'embrasser, un taxi est en bas qui attend"
134210,Je reviens te chercher
137980,
