startTimeMs,words
15290,"Un peu spéciale, elle est célibataire"
18040,"Le visage pâle, les cheveux en arrière"
21210,Et j'aime ça
25670,Elle se dessine sous des jupes fendues
28630,Et je devine des histoires défendues
31620,C'est comme ça
36140,Tellement si belle quand elle sort
42260,"Tellement si belle, je l'aime tellement si fort"
47670,"Elle a les yeux revolver, elle a le regard qui tue"
54200,"Elle a tiré la première, m'a touché, c'est foutu"
59180,"Elle a les yeux revolver, elle a le regard qui tue"
66120,"Elle a tiré la première, elle m'a touché, c'est foutu"
74820,"Un peu larguée, un peu seule sur la terre"
77780,"Les mains tendues, les cheveux en arrière"
81080,Et j'aime ça
85210,À faire l'amour sur des malentendus
88010,On vit toujours des moments défendus
91560,C'est comme ça
95930,Tellement si femme quand elle mord
101870,"Tellement si femme, je l'aime tellement si fort"
107130,"Elle a les yeux revolver, elle a le regard qui tue"
114250,"Elle a tiré la première, m'a touché, c'est foutu"
119160,"Elle a les yeux revolver, elle a le regard qui tue"
126190,"Elle a tiré la première, elle m'a touché, c'est foutu"
133950,♪
145270,Son corps s'achève sous des draps inconnus
148170,Et moi je rêve de gestes défendus
151470,C'est comme ça
155770,"Un peu spéciale, elle est célibataire"
158730,"Le visage pâle, les cheveux en arrière"
162020,Et j'aime ça
166460,Tellement si femme quand elle dort
172450,"Tellement si belle, je l'aime tellement si fort"
177880,"Elle a les yeux revolver, elle a le regard qui tue"
184460,"Elle a tiré la première, m'a touché, c'est foutu"
189600,"Elle a les yeux revolver, elle a le regard qui tue"
196430,"Elle a tiré la première, elle m'a touché, c'est foutu"
204280,
