startTimeMs,words
50,Je voudrais du soleil vert
4650,Des dentelles et des théières
8380,Des photos de bord de mer
12550,Dans mon jardin d'hiver
17190,Je voudrais de la lumière
21120,Comme en Nouvelle Angleterre
25180,Je veux changer d'atmosphère
29030,Dans mon jardin d'hiver
33880,Ta robe à fleur
37750,Sous la pluie de novembre
42030,Mes mains qui courent
45170,Je n'en peux plus de t'attendre
49970,Les années passent
54250,Qu'il est loin l'âge tendre
58260,Nul ne peut nous entendre
65760,Je voudrais du Fred Astaire
69860,Revoir un Latécoère
73970,Je voudrais toujours te plaire
77730,Dans mon jardin d'hiver
82090,Je veux déjeuner par terre
86030,Comme au long des golfes clairs
89950,T'embrasser les yeux ouverts
93940,Dans mon jardin d'hiver
98780,Ta robe à fleur
101930,Sous la pluie de novembre
106820,Mes mains qui courent
109840,Je n'en peux plus de t'attendre
114500,Les années passent
118780,Qu'il est loin l'âge tendre
122470,Nul ne peut nous entendre
130450,♪
157720,Dans mon jardin d'hiver
160890,
