"Pierre Garnier","Ceux qu'on était"
"Helena","Nouveau coeur"
"Larusso","Tu m'oublieras"
"Alizée","Moi... Lolita"
"Kyo","Dernière danse"
"Kyo","Le chemin (feat. Sita)"
"Diam's","La Boulette (Génération Nan Nan)"
"Diam's","Confessions Nocturnes"
"Diam's","Jeune Demoiselle"
"Zebda","Tomber la chemise"
"Faudel","Mon pays"
"Dalida","Gigi l'amoroso"
"Manau","La tribu de Dana"
"Amel Bent","Ma philosophie"
"Tragédie","Hey Oh - Radio Edit"
"Jenifer","Au soleil"
"Fatal Bazooka","Fous ta cagoule - Radio Edit"
"Kamini","Marly-Gomont"
"Louise Attaque","J't'emmène au vent"
"Helmut Fritz","Ça m'énerve - Radio Edit"
"Partenaire Particulier","Partenaire Particulier"
"Christophe Maé","On s'attache"
"Gilbert Montagné","On va s'aimer"
"BB Brunes","Dis-moi"
"Indochine","L'aventurier"
"Max Boublil","J'aime les moches"
"Emmanuel Moire","Je fais de toi mon essentiel (avec Anne-Laure Girbal)"
"Khaled","Aïcha - Version Mixte"
"Images","Les démons de minuit (Version single)"
"Indochine","J'ai demandé à la lune"
"Patrick Sébastien","Les sardines"
"Grégoire","Toi + Moi"
"Sinsémilia","Tout le bonheur du monde"
"Renan Luce","La lettre"
"Calogero","En apesanteur - Single Version"
"Las Ketchup","The Ketchup Song (Aserejé) - Spanglish Version"
"Téléphone","Ça c'est vraiment toi - Remasterisé en 2006"
"Daniel Balavoine","Je ne suis pas un héros"
"Peter & Sloane","Besoin de rien, envie de toi"
"Claude François","Alexandrie Alexandra"
"Christophe Maé","Belle demoiselle"
"Damien Sargue","Les rois du monde - Roméo & Juliette, Les enfants de Vérone"
"Fatal Bazooka","J'aime trop ton boule"
"Florent Pagny","Ma liberté de penser"
"France Gall","Il jouait du piano debout - Remasterisé en 2004"
"Shy'm","Femme de couleur"
"Téléphone","Cendrillon - Remasterisé en 2015"
"Serge Gainsbourg","La chanson de Prévert"
"Florent Pagny","Savoir aimer"
"DJ BoBo","Chihuahua"
"Patrick Fiori","Belle"
"France Gall","Ella, elle l'a - Remasterisé en 2004"
"Louise Attaque","Ton invitation"
"Isabelle Boulay","Un jour ou l'autre"
"Pep's","Liberta"
"Cœur De Pirate","Comme des enfants"
"Christophe Willem","Double je - Remix"
"Superbus","Butterfly"
"Aqua","Barbie Girl"
"Renan Luce","Les voisines"
"Nelly","Dilemma"
"Jean-Jacques Goldman","Envole-moi"
"Céline Dion","J'irai où tu iras (with Jean-Jacques Goldman)"
"Céline Dion","Pour que tu m'aimes encore"
"Johnny Hallyday","Allumer le feu"
"Bénabar","Le dîner"
"Daniel Balavoine","Aimer est plus fort que d'être aimé"
"Bénabar","Y'a une fille qu'habite chez moi"
"Renaud","Manu"
"Renaud","Putain de camion"
"Cali","C'est quand le bonheur ?"
"2 Be 3","Partir un jour - Remix"
"Patrick Bruel","Place des grands hommes"
